Steps,AVG_weight,STD_weight,STD_rel_weight
8,0.0026500000000000004,0.004458755431732043,1.6825492195215255
16,0.00501,0.005617018782236713,1.1211614335801823
24,0.009700000000000002,0.005947772692361401,0.6131724425114845
32,0.01258,0.0063508739556064255,0.5048389471865203
40,0.01551,0.008858493099844917,0.571147201795288
48,0.018139999999999996,0.005578745378667142,0.3075383339948811
56,0.021849999999999998,0.0076396662230754555,0.3496414747402955
64,0.028919999999999994,0.009791200130729634,0.3385615536213567
72,0.035519999999999996,0.013727330403250299,0.38646763522664135
80,0.03673,0.01611868791186181,0.4388425785968367
88,0.03089,0.018268084190740965,0.5913915244655541
96,0.04147,0.01872752252701889,0.4515920551487555
200,0.07478,0.018212237643957976,0.24354423166565894
400,0.18026999999999999,0.025369156470012953,0.14072866516898516
600,0.24227000000000004,0.05603490073159763,0.23129112449580064
