Step,Weight
5,0.0
10,0.0015
20,0.0037
50,0.0058
80,0.005
100,0.0097
200,0.0085
400,0.0314
600,0.0347
5,0.0018
10,0.0014
20,0.0006
50,0.0011
80,0.0014
100,0.0019
200,0.0093
400,0.0123
600,0.0285
5,0.0006
10,0.0003
20,0.0004
50,0.0009
80,0.004
100,0.011
200,0.0082
400,0.0229
600,0.0211
5,0.0
10,0.0
20,0.0003
50,0.0019
80,0.0036
100,0.01
200,0.0091
400,0.0162
600,0.025
5,0.0013
10,0.0042
20,0.0026
50,0.0023
80,0.0027
100,0.0026
200,0.0065
400,0.0127
600,0.0178
